Species,Indicator_Value_Nitrogen,Individual,FA_Index
Plantago lanceolata,3.1,5,0.059
Plantago lanceolata,3.1,6,0.01
Plantago lanceolata,3.1,7,0.024
Plantago lanceolata,3.1,8,0.021
Plantago lanceolata,3.1,9,0.014
Plantago lanceolata,3.1,10,0.028
Plantago lanceolata,4.3,1,0.033
Plantago lanceolata,4.3,2,0.034
Plantago lanceolata,4.3,3,0.037
Plantago lanceolata,4.3,4,0.004
Plantago lanceolata,4.3,5,0.016
Plantago lanceolata,4.3,6,0.066
Plantago lanceolata,4.3,7,0.005
Plantago lanceolata,4.3,8,0.039
Plantago lanceolata,4.3,9,0.029
Plantago lanceolata,4.3,10,0.079
Plantago lanceolata,3,1,0.082
Plantago lanceolata,3,2,0.011
Plantago lanceolata,3,3,0.045
Plantago lanceolata,3,4,0.005
Plantago lanceolata,3,5,0.137
Plantago lanceolata,3,6,0.01
Plantago lanceolata,3,7,0.071
Plantago lanceolata,3,8,0.051
Plantago lanceolata,3,9,0.059
Plantago lanceolata,3,10,0.013
Plantago lanceolata,3.2,1,0.002
Plantago lanceolata,3.2,2,0.001
Plantago lanceolata,3.2,3,0.01
Plantago lanceolata,3.2,4,0.025
Plantago lanceolata,3.2,5,0.011
Plantago lanceolata,3.2,6,0.036
Plantago lanceolata,3.2,7,0.003
Plantago lanceolata,3.2,8,0.016
Plantago lanceolata,3.2,9,0.038
Plantago lanceolata,3.2,10,0.002
Potentilla erecta,4.5,1,0.023
Potentilla erecta,4.5,2,0.013
Potentilla erecta,4.5,3,0.047
Potentilla erecta,4.5,4,0.012
Potentilla erecta,4.5,5,0.007
Potentilla erecta,4.5,6,0.003
Potentilla erecta,4.5,7,0.055
Potentilla erecta,4.5,8,0.032
Potentilla erecta,4.5,9,0.03
Potentilla erecta,4.5,10,0.02
Potentilla erecta,3.7,1,0.049
Potentilla erecta,3.7,2,0.031
Potentilla erecta,3.7,3,0.025
Potentilla erecta,3.7,4,0.01
Potentilla erecta,3.7,5,0.019
Potentilla erecta,3.7,6,0.026
Potentilla erecta,3.7,7,0.025
Potentilla erecta,3.7,8,0.045
Potentilla erecta,3.7,9,0.054
Potentilla erecta,3.7,10,0.018
Potentilla erecta,3,1,0.031
Potentilla erecta,3,2,0.011
Potentilla erecta,3,3,0.051
Potentilla erecta,3,4,0.032
Potentilla erecta,3,5,0.044
Potentilla erecta,3,6,0.066
Potentilla erecta,3,7,0.012
Potentilla erecta,3,8,0.017
Potentilla erecta,3,9,0.028
Potentilla erecta,3,10,0.009
Potentilla erecta,3.2,1,0.017
Potentilla erecta,3.2,2,0.027
Potentilla erecta,3.2,3,0.056
Potentilla erecta,3.2,4,0.02
Potentilla erecta,3.2,5,0.043
Potentilla erecta,3.2,6,0.078
Potentilla erecta,3.2,7,0.035
Potentilla erecta,3.2,8,0.024
Potentilla erecta,3.2,9,0.018
Potentilla erecta,3.2,10,0.025
Prunella vulgaris,4.5,1,0.029
Prunella vulgaris,4.5,2,0.024
Prunella vulgaris,4.5,3,0.093
Prunella vulgaris,4.5,4,0.04
Prunella vulgaris,4.5,5,0.035
Prunella vulgaris,4.5,6,0.002
Prunella vulgaris,4.5,7,0.037
Prunella vulgaris,4.5,8,0.054
Prunella vulgaris,4.5,9,0.003
Prunella vulgaris,4.5,10,0.06
Prunella vulgaris,3.7,1,0.052
Prunella vulgaris,3.7,2,0.024
Prunella vulgaris,3.7,3,0.009
Prunella vulgaris,3.7,4,0
Prunella vulgaris,3.7,5,0.029
Prunella vulgaris,3.7,6,0.03
Prunella vulgaris,3.7,7,0.013
Prunella vulgaris,3.7,8,0.008
Prunella vulgaris,3.7,9,0.027
Prunella vulgaris,3.7,10,0
Prunella vulgaris,3.1,1,0.015
Prunella vulgaris,3.1,2,0.007
Prunella vulgaris,3.1,3,0.023
Prunella vulgaris,3.1,4,0.003
Prunella vulgaris,3.1,5,0.096
Prunella vulgaris,3.1,6,0.025
Prunella vulgaris,3.1,7,0.026
Prunella vulgaris,3.1,8,0.015
Prunella vulgaris,3.1,9,0.011
Prunella vulgaris,3.1,10,0.014
Prunella vulgaris,4.3,1,0.018
Prunella vulgaris,4.3,2,0.097
Prunella vulgaris,4.3,3,0.026
Prunella vulgaris,4.3,4,0.032
Prunella vulgaris,4.3,5,0.079
Prunella vulgaris,4.3,6,0.078
Prunella vulgaris,4.3,7,0.037
Prunella vulgaris,4.3,8,0.105
Prunella vulgaris,4.3,9,0.051
Prunella vulgaris,4.3,10,0.044
Prunella vulgaris,3.2,1,0.047
Prunella vulgaris,3.2,2,0.105
Prunella vulgaris,3.2,3,0.028
Prunella vulgaris,3.2,4,0.046
Prunella vulgaris,3.2,5,0.022
Prunella vulgaris,3.2,6,0.021
Prunella vulgaris,3.2,7,0.009
Prunella vulgaris,3.2,8,0.111
Prunella vulgaris,3.2,9,0
Prunella vulgaris,3.2,10,0.007
Ranunculus acris,4.5,1,0.015
Ranunculus acris,4.5,2,0.068
Ranunculus acris,4.5,3,0.058
Ranunculus acris,4.5,4,0.044
Ranunculus acris,4.5,5,0.054
Ranunculus acris,4.5,6,0.055
Ranunculus acris,4.5,7,0.044
Ranunculus acris,4.5,8,0.025
Ranunculus acris,4.5,9,0.085
Ranunculus acris,4.5,10,0.014
Ranunculus acris,3.7,1,0.037
Ranunculus acris,3.7,2,0.041
Ranunculus acris,3.7,3,0.067
Ranunculus acris,3.7,4,0.119
Ranunculus acris,3.7,5,0.088
Ranunculus acris,3.7,6,0.034
Ranunculus acris,3.7,7,0.028
Ranunculus acris,3.7,8,0.002
Ranunculus acris,3.7,9,0.002
Ranunculus acris,3.7,10,0.111
Ranunculus acris,4.3,1,0.009
Ranunculus acris,4.3,2,0.003
Ranunculus acris,4.3,3,0.006
Ranunculus acris,4.3,4,0.041
Ranunculus acris,4.3,5,0.05
Ranunculus acris,4.3,6,0.013
Ranunculus acris,4.3,7,0.077
Ranunculus acris,4.3,8,0.043
Ranunculus acris,4.3,9,0.12
Ranunculus acris,4.3,10,0.055
Ranunculus acris,3,1,0.049
Ranunculus acris,3,2,0.015
Ranunculus acris,3,3,0.005
Ranunculus acris,3,4,0.047
Ranunculus acris,3,5,0.034
Ranunculus acris,3,6,0.029
Ranunculus acris,3,7,0.045
Ranunculus acris,3,8,0.134
Ranunculus acris,3,9,0.131
Ranunculus acris,3,10,0.016
Ranunculus acris,3.2,1,0.037
Ranunculus acris,3.2,2,0.015
Ranunculus acris,3.2,3,0.019
Ranunculus acris,3.2,4,0.061
Ranunculus acris,3.2,5,0.041
Ranunculus acris,3.2,6,0.017
Ranunculus acris,3.2,7,0.039
Ranunculus acris,3.2,8,0.006
Ranunculus acris,3.2,9,0.07
Ranunculus acris,3.2,10,0.057
Rumex acetosa,4.5,1,0.01
Rumex acetosa,4.5,2,0.012
Rumex acetosa,4.5,3,0.03
Rumex acetosa,4.5,4,0.041
Rumex acetosa,4.5,5,0.019
Rumex acetosa,4.5,6,0.019
Rumex acetosa,4.5,7,0.024
Rumex acetosa,4.5,8,0.04
Rumex acetosa,4.5,9,0.051
Rumex acetosa,4.5,10,0.031
Rumex acetosa,3.7,1,0.047
Rumex acetosa,3.7,2,0.011
Rumex acetosa,3.7,3,0.016
Rumex acetosa,3.7,4,0.004
Rumex acetosa,3.7,5,0.013
Rumex acetosa,3.7,6,0.013
Rumex acetosa,3.7,7,0.011
Rumex acetosa,3.7,8,0.012
Rumex acetosa,3.7,9,0.036
Rumex acetosa,3.7,10,0.061
Rumex acetosa,3.2,1,0.023
Rumex acetosa,3.2,2,0.011
Rumex acetosa,3.2,3,0.02
Rumex acetosa,3.2,4,0.005
Rumex acetosa,3.2,5,0.054
Rumex acetosa,3.2,6,0.087
Rumex acetosa,3.2,7,0.02
Rumex acetosa,3.2,8,0.015
Rumex acetosa,3.2,9,0.015
Rumex acetosa,3.2,10,0.008
Trifolium pratense,4.5,1,0.046
Trifolium pratense,4.5,2,0.076
Trifolium pratense,4.5,3,0.053
Trifolium pratense,4.5,4,0.009
Trifolium pratense,4.5,5,0.017
Trifolium pratense,4.5,6,0.046
Trifolium pratense,4.5,7,0.078
Trifolium pratense,4.5,8,0.033
Trifolium pratense,4.5,9,0.008
Trifolium pratense,4.5,10,0.032
Trifolium pratense,3.7,1,0.005
Trifolium pratense,3.7,2,0.045
Trifolium pratense,3.7,3,0.025
Trifolium pratense,3.7,4,0.134
Trifolium pratense,3.7,5,0.087
Trifolium pratense,3.7,6,0.014
Trifolium pratense,3.7,7,0.006
Trifolium pratense,3.7,8,0.063
Trifolium pratense,3.7,9,0.021
Trifolium pratense,3.7,10,0.006
Trifolium pratense,3.1,1,0.01
Trifolium pratense,3.1,2,0.003
Trifolium pratense,3.1,3,0.065
Trifolium pratense,3.1,4,0.009
Trifolium pratense,3.1,5,0.016
Trifolium pratense,3.1,6,0.006
Trifolium pratense,3.1,7,0.026
Trifolium pratense,3.1,8,0.125
Trifolium pratense,3.1,9,0.02
Trifolium pratense,3.1,10,0.008
Trifolium pratense,4.3,1,0.032
Trifolium pratense,4.3,2,0.007
Trifolium pratense,4.3,3,0.054
Trifolium pratense,4.3,4,0.044
Trifolium pratense,4.3,5,0.025
Trifolium pratense,4.3,6,0.002
Trifolium pratense,4.3,7,0.076
Trifolium pratense,4.3,8,0.035
Trifolium pratense,4.3,9,0.039
Trifolium pratense,4.3,10,0.042
Trifolium pratense,3,1,0.011
Trifolium pratense,3,2,0.044
Trifolium pratense,3,3,0.028
Trifolium pratense,3,4,0.167
Trifolium pratense,3,5,0.074
Trifolium pratense,3,6,0.043
Trifolium pratense,3,7,0.067
Trifolium pratense,3,8,0.047
Trifolium pratense,3,9,0.022
Trifolium pratense,3,10,0.025
Trifolium pratense,3.2,1,0.061
Trifolium pratense,3.2,2,0.041
Trifolium pratense,3.2,3,0.1
Trifolium pratense,3.2,4,0.105
Trifolium pratense,3.2,5,0.012
Trifolium pratense,3.2,6,0.039
Trifolium pratense,3.2,7,0.016
Trifolium pratense,3.2,8,0.029
Trifolium pratense,3.2,9,0.056
Trifolium pratense,3.2,10,0.024
