Species,Watering_treatments,Locality,Individual,FA_Index
Hymenocarpos circinnatus,50,Semi-arid,2,0.040927951
Hymenocarpos circinnatus,50,Semi-arid,3,0.032587367
Hymenocarpos circinnatus,50,Semi-arid,4,0.00846055
Hymenocarpos circinnatus,50,Semi-arid,5,0.039838239
Hymenocarpos circinnatus,50,Semi-arid,6,0.025969459
Hymenocarpos circinnatus,50,Semi-arid,7,0.001776258
Hymenocarpos circinnatus,50,Semi-arid,8,0.081670046
Hymenocarpos circinnatus,50,Semi-arid,9,0.020725737
Hymenocarpos circinnatus,50,Semi-arid,10,0.015866403
Hymenocarpos circinnatus,90,Mediterranean,1,0.033423755
Hymenocarpos circinnatus,90,Mediterranean,2,0.009290076
Hymenocarpos circinnatus,90,Mediterranean,3,0.004852503
Hymenocarpos circinnatus,90,Mediterranean,4,0.063933293
Hymenocarpos circinnatus,90,Mediterranean,5,0.03941883
Hymenocarpos circinnatus,90,Mediterranean,6,0.039918834
Hymenocarpos circinnatus,90,Mediterranean,7,0.01608682
Hymenocarpos circinnatus,90,Mediterranean,8,0.079622378
Hymenocarpos circinnatus,90,Mediterranean,9,0.010709174
Hymenocarpos circinnatus,90,Mediterranean,10,0.02151744
Hymenocarpos circinnatus,90,Semi-arid,1,0.005962947
Hymenocarpos circinnatus,90,Semi-arid,2,0.045959441
Hymenocarpos circinnatus,90,Semi-arid,3,0.004628404
Hymenocarpos circinnatus,90,Semi-arid,4,0.032276724
Hymenocarpos circinnatus,90,Semi-arid,5,0.019305155
Hymenocarpos circinnatus,90,Semi-arid,6,0.000961893
Hymenocarpos circinnatus,90,Semi-arid,7,0.087560178
Hymenocarpos circinnatus,90,Semi-arid,8,0.035437841
Hymenocarpos circinnatus,90,Semi-arid,9,0.017894813
Hymenocarpos circinnatus,90,Semi-arid,10,0
